00000 | X=FFFF Y=FFFF Z=FFFF | jmp      00062
000E0 | X=0062 Y=0060 Z=FA62 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA62 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA62 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA62 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA62 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA62 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA62 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA64 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA64 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA64 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA64 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA64 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA64 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA64 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA66 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA66 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA66 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA66 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA66 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA66 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA66 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA68 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA68 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA68 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA68 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA68 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA68 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA68 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA6A | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA6A | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA6A | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA6A | brne     $00DA
000DA | X=0062 Y=0060 Z=FA6A | st       Z, r1
000DC | X=0062 Y=0060 Z=FA6A | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA6A | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA6C | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA6C | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA6C | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA6C | brne     $00DA
000DA | X=0062 Y=0060 Z=FA6C | st       Z, r1
000DC | X=0062 Y=0060 Z=FA6C | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA6C | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA6E | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA6E | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA6E | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA6E | brne     $00DA
000DA | X=0062 Y=0060 Z=FA6E | st       Z, r1
000DC | X=0062 Y=0060 Z=FA6E | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA6E | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA70 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA70 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA70 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA70 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA70 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA70 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA70 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA72 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA72 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA72 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA72 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA72 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA72 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA72 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA74 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA74 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA74 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA74 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA74 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA74 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA74 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA76 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA76 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA76 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA76 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA76 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA76 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA76 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA78 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA78 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA78 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA78 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA78 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA78 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA78 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA7A | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA7A | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA7A | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA7A | brne     $00DA
000DA | X=0062 Y=0060 Z=FA7A | st       Z, r1
000DC | X=0062 Y=0060 Z=FA7A | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA7A | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA7C | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA7C | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA7C | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA7C | brne     $00DA
000DA | X=0062 Y=0060 Z=FA7C | st       Z, r1
000DC | X=0062 Y=0060 Z=FA7C | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA7C | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA7E | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA7E | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA7E | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA7E | brne     $00DA
000DA | X=0062 Y=0060 Z=FA7E | st       Z, r1
000DC | X=0062 Y=0060 Z=FA7E | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA7E | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA80 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA80 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA80 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA80 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA80 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA80 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA80 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA82 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA82 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA82 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA82 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA82 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA82 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA82 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA84 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA84 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA84 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA84 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA84 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA84 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA84 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA86 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA86 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA86 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA86 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA86 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA86 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA86 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA88 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA88 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA88 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA88 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA88 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA88 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA88 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA8A | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA8A | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA8A | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA8A | brne     $00DA
000DA | X=0062 Y=0060 Z=FA8A | st       Z, r1
000DC | X=0062 Y=0060 Z=FA8A | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA8A | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA8C | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA8C | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA8C | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA8C | brne     $00DA
000DA | X=0062 Y=0060 Z=FA8C | st       Z, r1
000DC | X=0062 Y=0060 Z=FA8C | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA8C | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA8E | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA8E | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA8E | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA8E | brne     $00DA
000DA | X=0062 Y=0060 Z=FA8E | st       Z, r1
000DC | X=0062 Y=0060 Z=FA8E | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA8E | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA90 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA90 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA90 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA90 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA90 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA90 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA90 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA92 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA92 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA92 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA92 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA92 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA92 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA92 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA94 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA94 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA94 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA94 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA94 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA94 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA94 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA96 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA96 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA96 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA96 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA96 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA96 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA96 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA98 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA98 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA98 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA98 | brne     $00DA
000DA | X=0062 Y=0060 Z=FA98 | st       Z, r1
000DC | X=0062 Y=0060 Z=FA98 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA98 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA9A | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA9A | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA9A | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA9A | brne     $00DA
000DA | X=0062 Y=0060 Z=FA9A | st       Z, r1
000DC | X=0062 Y=0060 Z=FA9A | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA9A | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA9C | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA9C | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA9C | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA9C | brne     $00DA
000DA | X=0062 Y=0060 Z=FA9C | st       Z, r1
000DC | X=0062 Y=0060 Z=FA9C | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA9C | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FA9E | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FA9E | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FA9E | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FA9E | brne     $00DA
000DA | X=0062 Y=0060 Z=FA9E | st       Z, r1
000DC | X=0062 Y=0060 Z=FA9E | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FA9E | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAA0 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAA0 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAA0 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAA0 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAA0 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAA0 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAA0 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAA2 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAA2 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAA2 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAA2 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAA2 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAA2 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAA2 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAA4 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAA4 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAA4 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAA4 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAA4 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAA4 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAA4 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAA6 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAA6 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAA6 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAA6 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAA6 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAA6 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAA6 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAA8 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAA8 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAA8 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAA8 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAA8 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAA8 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAA8 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAAA | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAAA | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAAA | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAAA | brne     $00DA
000DA | X=0062 Y=0060 Z=FAAA | st       Z, r1
000DC | X=0062 Y=0060 Z=FAAA | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAAA | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAAC | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAAC | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAAC | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAAC | brne     $00DA
000DA | X=0062 Y=0060 Z=FAAC | st       Z, r1
000DC | X=0062 Y=0060 Z=FAAC | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAAC | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAAE | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAAE | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAAE | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAAE | brne     $00DA
000DA | X=0062 Y=0060 Z=FAAE | st       Z, r1
000DC | X=0062 Y=0060 Z=FAAE | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAAE | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAB0 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAB0 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAB0 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAB0 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAB0 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAB0 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAB0 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAB2 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAB2 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAB2 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAB2 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAB2 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAB2 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAB2 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAB4 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAB4 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAB4 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAB4 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAB4 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAB4 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAB4 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAB6 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAB6 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAB6 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAB6 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAB6 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAB6 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAB6 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAB8 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAB8 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAB8 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAB8 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAB8 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAB8 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAB8 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FABA | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FABA | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FABA | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FABA | brne     $00DA
000DA | X=0062 Y=0060 Z=FABA | st       Z, r1
000DC | X=0062 Y=0060 Z=FABA | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FABA | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FABC | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FABC | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FABC | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FABC | brne     $00DA
000DA | X=0062 Y=0060 Z=FABC | st       Z, r1
000DC | X=0062 Y=0060 Z=FABC | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FABC | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FABE | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FABE | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FABE | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FABE | brne     $00DA
000DA | X=0062 Y=0060 Z=FABE | st       Z, r1
000DC | X=0062 Y=0060 Z=FABE | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FABE | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAC0 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAC0 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAC0 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAC0 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAC0 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAC0 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAC0 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAC2 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAC2 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAC2 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAC2 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAC2 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAC2 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAC2 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAC4 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAC4 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAC4 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAC4 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAC4 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAC4 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAC4 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAC6 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAC6 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAC6 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAC6 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAC6 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAC6 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAC6 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAC8 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAC8 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAC8 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAC8 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAC8 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAC8 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAC8 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FACA | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FACA | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FACA | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FACA | brne     $00DA
000DA | X=0062 Y=0060 Z=FACA | st       Z, r1
000DC | X=0062 Y=0060 Z=FACA | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FACA | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FACC | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FACC | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FACC | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FACC | brne     $00DA
000DA | X=0062 Y=0060 Z=FACC | st       Z, r1
000DC | X=0062 Y=0060 Z=FACC | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FACC | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FACE | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FACE | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FACE | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FACE | brne     $00DA
000DA | X=0062 Y=0060 Z=FACE | st       Z, r1
000DC | X=0062 Y=0060 Z=FACE | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FACE | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAD0 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAD0 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAD0 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAD0 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAD0 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAD0 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAD0 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAD2 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAD2 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAD2 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAD2 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAD2 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAD2 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAD2 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAD4 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAD4 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAD4 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAD4 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAD4 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAD4 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAD4 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAD6 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAD6 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAD6 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=FAD6 | brne     $00DA
000DA | X=0062 Y=0060 Z=FAD6 | st       Z, r1
000DC | X=0062 Y=0060 Z=FAD6 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=FAD6 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=FAD8 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=FAD8 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=FAD8 | cpc      r31, r25
