00000 | X=FFFF Y=FFFF Z=FFFF | jmp      00062
000E6 | X=0062 Y=0060 Z=F018 | brne     $00DA
000DA | X=0062 Y=0060 Z=F018 | st       Z, r1
000DC | X=0062 Y=0060 Z=F018 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F018 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F01A | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F01A | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F01A | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F01A | brne     $00DA
000DA | X=0062 Y=0060 Z=F01A | st       Z, r1
000DC | X=0062 Y=0060 Z=F01A | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F01A | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F01C | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F01C | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F01C | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F01C | brne     $00DA
000DA | X=0062 Y=0060 Z=F01C | st       Z, r1
000DC | X=0062 Y=0060 Z=F01C | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F01C | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F01E | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F01E | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F01E | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F01E | brne     $00DA
000DA | X=0062 Y=0060 Z=F01E | st       Z, r1
000DC | X=0062 Y=0060 Z=F01E | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F01E | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F020 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F020 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F020 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F020 | brne     $00DA
000DA | X=0062 Y=0060 Z=F020 | st       Z, r1
000DC | X=0062 Y=0060 Z=F020 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F020 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F022 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F022 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F022 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F022 | brne     $00DA
000DA | X=0062 Y=0060 Z=F022 | st       Z, r1
000DC | X=0062 Y=0060 Z=F022 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F022 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F024 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F024 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F024 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F024 | brne     $00DA
000DA | X=0062 Y=0060 Z=F024 | st       Z, r1
000DC | X=0062 Y=0060 Z=F024 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F024 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F026 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F026 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F026 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F026 | brne     $00DA
000DA | X=0062 Y=0060 Z=F026 | st       Z, r1
000DC | X=0062 Y=0060 Z=F026 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F026 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F028 | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F028 | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F028 | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F028 | brne     $00DA
000DA | X=0062 Y=0060 Z=F028 | st       Z, r1
000DC | X=0062 Y=0060 Z=F028 | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F028 | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F02A | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F02A | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F02A | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F02A | brne     $00DA
000DA | X=0062 Y=0060 Z=F02A | st       Z, r1
000DC | X=0062 Y=0060 Z=F02A | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F02A | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F02C | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F02C | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F02C | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F02C | brne     $00DA
000DA | X=0062 Y=0060 Z=F02C | st       Z, r1
000DC | X=0062 Y=0060 Z=F02C | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F02C | adiw     r30, $02
000E0 | X=0062 Y=0060 Z=F02E | ldi      r25, $FF
000E2 | X=0062 Y=0060 Z=F02E | cpi      r30, $A0
000E4 | X=0062 Y=0060 Z=F02E | cpc      r31, r25
000E6 | X=0062 Y=0060 Z=F02E | brne     $00DA
000DA | X=0062 Y=0060 Z=F02E | st       Z, r1
000DC | X=0062 Y=0060 Z=F02E | std      Z+1, r24
000DE | X=0062 Y=0060 Z=F02E | adiw     r30, $02
